TITLE,CONFERENCE,GITHUB,AWARDS
WorldBoat,ETHGlobal Istanbul,https://github.com/EcoAccountable/ecoaccountable-contracts,Pool Prize
TagTrove,ETHGlobal Istanbul,https://github.com/0xhardman/tag-trove,Innovation Pool Prize
kebab gambler,ETHGlobal Istanbul,https://github.com/pierregvx/devconnect,Deploy on Scroll
SUClave,ETHGlobal Istanbul,https://github.com/getclave/suclave-ethglobal-istanbul/,1st Place
ÖdülGit,ETHGlobal Istanbul,https://github.com/odulgit/odulgit,🏊 Filecoin — Pool Prize
rent-EZ,ETHGlobal Istanbul,https://github.com/dolvin17/rentEZ,Innovation Pool Prize
EnsGateway❤️Arbitrum,ETHGlobal Istanbul,https://github.com/ensdomains/evmgateway/pull/19,Pool Prize
Smart NeSt web3-IoT,ETHGlobal Istanbul,https://github.com/JustAnotherDevv/SMART-NeSt,Pool Prize
Scroll Messenger,ETHGlobal Istanbul,https://github.com/armsves/ETHGlobalIstanbul23Hackaton,Deploy on Scroll
Cattestation,ETHGlobal Istanbul,https://github.com/kevincharm/cattestation-contracts,🥇 Winner
SafeSwim,ETHGlobal Istanbul,https://github.com/veigajoao/compliant-privacy,Pool Prize
attesTOTO,ETHGlobal Istanbul,https://github.com/mrkaurelius/attesTOTO,Pool Prize
Safety First,ETHGlobal Istanbul,https://github.com/RegisGraptin/ETH-Global-Istanbul,Best privacy-focused project using Waku
Legac.eth,ETHGlobal Istanbul,https://github.com/gaavebase,Pool Prize
GoldenGate,ETHGlobal Istanbul,https://github.com/konradstrachan/ethistanbulhackathon2023,🎼 Hyperlane — 2nd Best Interchain App
Ephemeral ZK L3s,ETHGlobal Istanbul,https://github.com/rishotics/ephemeral_ZK_L3s,Pool Prize
RealRace 🏇,ETHGlobal Istanbul,https://github.com/StallionFi/onChain-Backend,1st Place
GearboxGPT,ETHGlobal Istanbul,https://github.com/hazelnutcloud/gearbox-singularity,GearBot's Apprentice 2
Stylus Playground,ETHGlobal Istanbul,https://github.com/onuruci/stylus-playground,🥇 Winner
Toaster,ETHGlobal Istanbul,https://github.com/swimmiee/ethistanbul-toaster-contract,Pool Prize
Fe-bernace,ETHGlobal Istanbul,https://github.com/Doozers/fe-nerbahce,🏆 Ethereum Foundation - Build with Fe
Degen Drink,ETHGlobal Istanbul,https://github.com/visoftsolutions/ethglobal-istanbul-2023,Innovation Pool Prize
WorkX Premium Access,ETHGlobal Istanbul,https://github.com/Work-X-Official/work-x-token/,Deploy on Scroll
xPay,ETHGlobal Istanbul,https://github.com/rahul0eth/xpay-contracts/,EVM Migration Tool Prize
Nouns RC Tribute,ETHGlobal Istanbul,https://github.com/adrianmcli/nouns-rc-tribute,Deploy on Scroll
TapTrust,ETHGlobal Istanbul,https://github.com/NikosFotiadis/TapTrust,3rd Place
Blob Merger,ETHGlobal Istanbul,https://github.com/microHoffman/suave-geth,Pool Prize
Recursive Gaming,ETHGlobal Istanbul,https://github.com/zkzoomer/recursive-gaming/tree/main,🏅 4th Place
DietBuddy,ETHGlobal Istanbul,https://github.com/Begumwithsmiley/ethglobalIst,Pool Prize
ML-ERC46,ETHGlobal Istanbul,https://github.com/solidoracle/erc4626-rs,Runner-up
zkret-attestations,ETHGlobal Istanbul,https://github.com/crisgarner/zkret-attestations,Deploy on Scroll
Star Sign,ETHGlobal Istanbul,https://github.com/heriportre/ETH_ISTANBUL_2023,Pool Prize
DeSub,ETHGlobal Istanbul,https://github.com/moeenxyz/Hackathon,Innovation Pool Prize
Collabstr,ETHGlobal Istanbul,https://github.com/ethglobal,Deploy on Scroll
Quandra,ETHGlobal Istanbul,https://github.com/Dex-C/Quandra-conracts,Deploy on Scroll
DOG,ETHGlobal Istanbul,https://github.com/0xPetra/zkCreditScore,Deploy on Scroll
ZK Viper Race,ETHGlobal Istanbul,https://triflr.github.io/viper-racer,Pool Prize
Safe Defender,ETHGlobal Istanbul,https://github.com/VMLVaske/eth_istambul/,Pool Prize
