TITLE,CONFERENCE,GITHUB,AWARDS
Nazar,ETHGlobal Istanbul,https://github.com/iuwqyir/nazar,Innovation Pool Prize
VAPOR,ETHGlobal Istanbul,https://github.com/0xFableOrg/vapor,Best game or marketplace using Waku
AlterLend,ETHGlobal Istanbul,https://github.com/solity-research/eth-global-istanbul,3rd Place
ZKnoid,ETHGlobal Istanbul,https://github.com/aii23/MinaZKanoid,2nd Place
In-Sua-Rance,ETHGlobal Istanbul,https://github.com/WudingRoad1145/Insuarance,Pool Prize
Tgwap,ETHGlobal Istanbul,https://github.com/Twap-IT,Innovation Pool Prize
ConTx,ETHGlobal Istanbul,https://github.com/ETHGlobal-ConTx/ConTx,Innovation Pool Prize
Pinky Promise,ETHGlobal Istanbul,https://github.com/MickdeGraaf/pinky-promise,3rd Place
GNL,ETHGlobal Istanbul,https://github.com/berkingurcan/gnl-ETHGlobal-Istanbul2023,Top 5 - Best App Built on Leo
GOAT RAMP,ETHGlobal Istanbul,https://github.com/0xturboblitz/goatramp,3rd Place
EASy Work,ETHGlobal Istanbul,https://github.com/vaniiiii/easy-work-contracts,Pool Prize
Ticket PROTOCOL,ETHGlobal Istanbul,https://github.com/IdCom4/ETHGlobalIstanbul,Innovation Pool Prize
AirdropFi,ETHGlobal Istanbul,https://github.com/mattiapomelli/fairdrop,Innovation Pool Prize
WalletSync,ETHGlobal Istanbul,https://github.com/deepshah9696/ETHIstanbul,Pool Prize
Stabilan,ETHGlobal Istanbul,https://github.com/duxxud/ethglobal-stabilan,🥇 1inch — Most Innovative using Token Plugins
Green Zkrciticty,ETHGlobal Istanbul,https://github.com/DappaDanDev/green-zktricity_,Best overall Aztec Sandbox dapp
Cairo Arena,ETHGlobal Istanbul,https://github.com/0xKube/Cairo_Arena,Madara's special prize
